,location,text
31,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
32,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
33,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
34,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
35,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
36,United States,@Acyn Take that wussy Trump!
37,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
38,#UniteBlue in Semi-Red State,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/l3r9v9Vnrq"
39,Palm Desert California,@DonaldJTrumpJr Stop writing BLASTS. NO body BLASTS Trump ...NO body BLASTS the White House. A collection of evil w… https://t.co/831QpoZITt
40,Deep Undercover,"@faagifts Cap lock stuck? 
The same crooks who said smoking (smocking for Trump Fanboys) doesn't cause cancer are n… https://t.co/UF1zJum8kq"
41,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
42,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
43,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
