,location,text
498,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
499,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
500,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
501,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
502,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
503,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
504,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
505,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
506,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
507,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
508,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
509,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
510,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
511,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
512,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
513,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
514,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
515,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
516,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
517,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
518,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
519,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
520,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
521,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
522,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
523,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
524,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
525,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
526,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
527,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
528,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
529,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
530,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
531,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
532,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
533,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
534,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
535,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
536,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
537,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
538,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
539,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
540,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
541,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
542,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
543,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
544,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
545,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
546,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
547,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
548,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
549,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
550,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
551,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
552,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
553,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
554,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
555,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
556,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
557,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
558,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
559,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
560,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
561,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
562,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
563,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
564,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
565,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
566,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
567,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
568,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
569,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
570,"São Paulo, Brasil",obg camila por esmurrar o trump
571,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
572,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
573,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
574,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
575,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
576,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
577,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
578,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
579,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
580,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
581,"São Paulo, Brasil",obg camila por esmurrar o trump
582,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
583,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
584,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
585,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
586,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
587,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
588,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
589,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
590,"São Paulo, Brasil",obg camila por esmurrar o trump
591,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
592,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
593,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
594,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
595,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
596,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
597,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
598,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
599,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
600,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
601,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
602,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
603,"São Paulo, Brasil",obg camila por esmurrar o trump
604,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
605,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
606,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
607,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
608,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
609,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
610,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
611,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
612,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
613,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
614,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
615,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
616,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
617,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
618,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
619,"São Paulo, Brasil",obg camila por esmurrar o trump
620,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
621,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
622,"Los Angeles, CA",.@Joy_Villa gives the full look at her #MAGA dress in support of Trump's proposed border wall… https://t.co/uKEp65v4wh
623,"Austin, Brushy Creek area.",Barragán uttered complete gibberish. Except for her blame of Trump she said absolutely NOTHING of any substance.… https://t.co/cdEIE4og1o
624,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
625,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
626,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
627,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
628,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
629,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
630,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
631,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
632,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
633,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
634,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
635,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
636,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
637,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
638,"São Paulo, Brasil",obg camila por esmurrar o trump
639,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
640,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
641,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
642,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
643,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
644,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
645,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
646,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
647,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
648,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
649,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
650,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
651,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
652,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
653,11th Congressional Dist NYS🗽,@BryanJFischer @POLITICOMag Jesus Christ. But it's ok for others to have extra marital affairs? I bet a few preside… https://t.co/x42siwok7T
654,Canada,@amdshorn @lisamflower @CouncilKate @AndrewScheer @RachaelHarderMP Are you a trump supporter pretending to be a Canadian ?
655,"São Paulo, Brasil",obg camila por esmurrar o trump
656,"Philadelphia, PA",@Andy You know it’s likely she voted for Trump right? You may want to rethink this before the #TolerantLeft comes for you.
657,"Chicago, IL","@TimSmit97241657 @bully_b @SpeakerPelosi @RepWalterJones Wow, when the truth is revealed about Trump, I am curious… https://t.co/elvnTw3GET"
658,"Wisconsin, USA","trump, you do not know the meaning of the word work. Our country was great til you took office. It is headed for th… https://t.co/ENbfE58VkF"
659,Sobre el tejado caliente,@Trump_VZLA Paseo Beatriz Becerra
660,"New Jersey, USA Philadelphia ","Hillary Clinton: 'If That F-ing B*stard Trump Wins, We All Hang From Nooses' - Truth And Action https://t.co/4mKlrj6oVK"
661,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
662,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
663,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
664,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
665,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
666,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
667,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
668,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
669,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
670,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
671,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
672,Sequoia National Forest,@ethanorloff @Jik447Scott @jjauthor @realDonaldTrump says Climate Change is #FakeNews but CNN says all he does is l… https://t.co/erWnlAKeiM
673,"Wisconsin, USA","trump, you do not know the meaning of the word work. Our country was great til you took office. It is headed for th… https://t.co/ENbfE58VkF"
674,Sobre el tejado caliente,@Trump_VZLA Paseo Beatriz Becerra
675,"New Jersey, USA Philadelphia ","Hillary Clinton: 'If That F-ing B*stard Trump Wins, We All Hang From Nooses' - Truth And Action https://t.co/4mKlrj6oVK"
676,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
677,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
678,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
679,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
680,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
681,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
682,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
683,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
684,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
685,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
686,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
687,"Wisconsin, USA","trump, you do not know the meaning of the word work. Our country was great til you took office. It is headed for th… https://t.co/ENbfE58VkF"
688,Sobre el tejado caliente,@Trump_VZLA Paseo Beatriz Becerra
689,"New Jersey, USA Philadelphia ","Hillary Clinton: 'If That F-ing B*stard Trump Wins, We All Hang From Nooses' - Truth And Action https://t.co/4mKlrj6oVK"
690,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
691,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
692,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
693,United,"Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border - 
Supporters of President Donald Trump’s proposed bord… https://t.co/ku63o8BKmI"
694,currently grieving the rape of America by trump and his komrades.,"Trump, the enquirer, and that gal's brother are all going to pay.....bigly.  Go get 'em Jeff! https://t.co/rTHOTtrXR0"
695,"Florida, USA","@TheRickWilson Look at little Ricky, calling q a hoax while he pushes a hoax q trump Russia . Can’t make this shit up !"
696,"Medfield, MA","@RyanAFournier Trump is doing the same thing to his “ legacy “ as Hillary did to her e-mails . 

WIPING THEM OUT !!!"
697,#KAG Fly over usa ,"Donald Trump supporter and singer Joy Villa wears build the wall dress
 https://t.co/S92hdCI37h"
698,"Santa Rosa, Calif.","@kylegriffin1 Words we shall never hear from Melania ""Thou$and_an_hour"" Trump."
699,#NotMyPresident,Pq a Lady Gaga tá laranja? Pegou a tinta q sobrou do Trump? #GRAMMYs #GRAMMYsTNT
700,Carmel-by- the-sea,3 Trump properties posted 144 openings for seasonal jobs. Only one went to a US worker. https://t.co/AFXa6C53Qs
701,"Wisconsin, USA","trump, you do not know the meaning of the word work. Our country was great til you took office. It is headed for th… https://t.co/ENbfE58VkF"
702,Sobre el tejado caliente,@Trump_VZLA Paseo Beatriz Becerra
703,"New Jersey, USA Philadelphia ","Hillary Clinton: 'If That F-ing B*stard Trump Wins, We All Hang From Nooses' - Truth And Action https://t.co/4mKlrj6oVK"
704,"Detroit, MI",@SusanJHurley @AngieMeader @MichelleObama @BarackObama #TheGlobalResistance Against Donald Trump and his Criminal GOP Crew
705,"California, USA",The latest terrifying deepfake combines Donald Trump and Mr. Bean #Resist #ResistTrump #FuckTrump https://t.co/GQI3O10RAq
706,"Chicago, Illinois","Just in Wealthy Taxpayers Screaming About Lost Deductions Under Trump Tax ""Cuts"" https://t.co/OGnX24AdVo via… https://t.co/zrbde0unCz"
